순위,제목,노래가수
1,바라만 본다,MSG워너비(M.O.M)
2,Next Level,aespa
3,나를 아는 사람,MSG워너비(정상동기)
4,Butter,방탄소년단
5,헤픈 우연,헤이즈 (Heize)
6,치맛바람 (Chi Mat Ba Ram),브레이브걸스
7,Dun Dun Dance,오마이걸 (OH MY GIRL)
8,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
9,신호등,이무진
10,롤린 (Rollin'),브레이브걸스
11,Alcohol-Free,TWICE (트와이스)
12,라일락,아이유
13,ASAP,STAYC(스테이씨)
14,비와 당신,이무진
15,안녕 (Hello),조이 (JOY)
16,운전만해 (We Ride),브레이브걸스
17,Dynamite,방탄소년단
18,Celebrity,아이유
19,상상더하기,MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)
20,하루만 더,빅마마
21,사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco),호미들
22,Timeless,SG 워너비
23,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
24,상상더하기,라붐 (LABOUM)
25,내 손을 잡아,아이유
26,러브(Prod.로코베리),로꼬, 이성경
27,멜로디,ASH ISLAND
28,밝게 빛나는 별이 되어 비춰줄게,송이한
29,밤하늘의 별을(2020),경서
30,라라라,SG 워너비
31,마.피.아. In the morning,ITZY (있지)
32,LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지),양요섭, 정은지
33,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685, Jason Derulo, 방탄소년단
34,Lovesick Girls,BLACKPINK
35,잠이 오질 않네요,장범준
36,Dolphin,오마이걸 (OH MY GIRL)
37,에잇(Prod.&Feat. SUGA of BTS),아이유
38,Coin,아이유
39,추억은 만남보다 이별에 남아,정동하
40,취기를 빌려 (취향저격 그녀 X 산들),산들
41,Blueming,아이유
42,내사람,SG 워너비
43,어떻게 이별까지 사랑하겠어, 널 사랑하는 거지,AKMU (악동뮤지션)
44,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
45,Off My Face,Justin Bieber
46,On The Ground,로제 (ROSÉ)
47,아로하,조정석
48,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)
49,가을 우체국 앞에서,김대명
50,어푸 (Ah puh),아이유
51,그날에 나는 맘이 편했을까,이예준
52,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
53,다정히 내 이름을 부르면,경서예지, 전건호
54,허리춤,오반 (OVAN)
55,12:45 (Stripped),Etham
56,2002,Anne-Marie
57,Life Goes On,방탄소년단
58,METEOR,창모 (CHANGMO)
59,체념,MSG워너비(정상동기)
60,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
61,봄날,방탄소년단
62,추적이는 여름 비가 되어,장범준
63,모든 날, 모든 순간 (Every day, Every Moment),폴킴
64,너의 번호를 누르고 (Prod. 영화처럼),#안녕
65,오래된 노래,스탠딩 에그
66,어떻게 지내 (Prod. By VAN.C),오반 (OVAN)
67,그냥 안아달란 말야,다비치
68,해야 해,2PM
69,Memories,Maroon 5
70,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL)
71,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
72,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM
73,사실 나는 (Feat.전건호),경서예지
74,Hello Future,NCT DREAM
75,늦은 밤 너의 집 앞 골목길에서,노을
76,오늘따라 더 미운 그대가,전상근
77,How You Like That,BLACKPINK
78,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈)
79,힘든 건 사랑이 아니다,임창정
80,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy)
81,나는 너 좋아,장범준
82,이제 나만 믿어요,임영웅
83,Dance Monkey,Tones And I
84,살다가,SG 워너비
85,마음을 드려요,아이유
86,Paris In The Rain,Lauv
87,Love poem,아이유
88,너를 만나,폴킴
89,아이와 나의 바다,아이유
90,우린 어쩌다 헤어진 걸까,허각
91,맛 (Hot Sauce),NCT DREAM
92,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드)
93,우리 왜 헤어져야 해,신예영
94,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN)
95,시작,가호 (Gaho)
96,안녕,폴킴
97,Downtown Baby,블루 (BLOO)
98,Don't Start Now,Dua Lipa
99,고백 (바른연애 길잡이 X 허각),허각
100,When We Disco (Duet with 선미),박진영
